ptc,force,position,actuator_id,timestamp,src_node_id
94,3876.0,3876.0,1,1716994604.901202,42
94,3876.0,3876.0,1,1716994604.9013276,42
94,3876.0,3876.0,1,1716994604.901457,42
95,3900.0,3860.0,0,1716994604.9015913,42
94,3876.0,3876.0,1,1716994604.9016936,42
0,14.0,14.0,3,1716994604.9018042,42
94,3874.0,3874.0,1,1716994604.901879,42
94,3874.0,3874.0,1,1716994604.901951,42
94,3874.0,3874.0,1,1716994604.9020221,42
94,3874.0,3874.0,1,1716994604.9021015,42
94,3874.0,3874.0,1,1716994604.902237,42
0,14.0,14.0,3,1716994604.9023695,42
95,3902.0,3860.0,0,1716994604.9025316,42
94,3874.0,3874.0,1,1716994604.9026163,42
95,3902.0,3860.0,0,1716994604.90269,42
94,3874.0,3874.0,1,1716994604.902762,42
94,3876.0,3876.0,1,1716994604.9028351,42
94,3876.0,3876.0,1,1716994604.90291,42
94,3876.0,3876.0,1,1716994604.9029813,42
0,15.0,15.0,3,1716994604.9030528,42
95,3902.0,3860.0,0,1716994604.9031243,42
94,3876.0,3876.0,1,1716994604.9031954,42
94,3876.0,3876.0,1,1716994604.903268,42
94,3876.0,3876.0,1,1716994604.903341,42
94,3876.0,3876.0,1,1716994604.9034128,42
95,3902.0,3862.0,0,1716994604.9035022,42
0,13.0,13.0,3,1716994604.9035752,42
94,3874.0,3874.0,1,1716994604.9036481,42
94,3874.0,3874.0,1,1716994604.9037223,42
94,3874.0,3874.0,1,1716994604.9038014,42
94,3874.0,3874.0,1,1716994604.9038742,42
0,14.0,14.0,3,1716994604.9039457,42
94,3874.0,3874.0,1,1716994604.9040663,42
94,3874.0,3874.0,1,1716994604.9041657,42
95,3902.0,3860.0,0,1716994604.9044378,42
94,3874.0,3874.0,1,1716994604.9045124,42
95,3902.0,3860.0,0,1716994604.904589,42
94,3874.0,3874.0,1,1716994604.9046617,42
94,3874.0,3874.0,1,1716994604.9047644,42
0,14.0,14.0,3,1716994604.9048362,42
94,3874.0,3874.0,1,1716994604.9049072,42
94,3874.0,3874.0,1,1716994604.9049845,42
95,3902.0,3862.0,0,1716994604.90506,42
94,3874.0,3874.0,1,1716994604.9051344,42
94,3874.0,3874.0,1,1716994604.9052088,42
94,3876.0,3876.0,1,1716994604.9052925,42
0,14.0,14.0,3,1716994604.9055521,42
95,3902.0,3862.0,0,1716994604.9056394,42
94,3876.0,3876.0,1,1716994604.9057126,42
94,3876.0,3876.0,1,1716994604.9057887,42
94,3876.0,3876.0,1,1716994604.9058764,42
94,3876.0,3876.0,1,1716994604.9060338,42
95,3900.0,3860.0,0,1716994604.9061704,42
0,16.0,16.0,3,1716994604.906329,42
94,3876.0,3876.0,1,1716994604.9064705,42
94,3874.0,3874.0,1,1716994604.9065962,42
95,3902.0,3860.0,0,1716994604.9066718,42
94,3874.0,3874.0,1,1716994604.9067488,42
95,3902.0,3860.0,0,1716994604.906846,42
94,3874.0,3874.0,1,1716994604.9069204,42
0,14.0,14.0,3,1716994604.9070215,42
94,3874.0,3874.0,1,1716994604.9071426,42
94,3874.0,3874.0,1,1716994604.9072776,42
95,3900.0,3860.0,0,1716994604.9074063,42
94,3874.0,3874.0,1,1716994604.9075363,42
94,3874.0,3874.0,1,1716994604.9077122,42
94,3874.0,3874.0,1,1716994604.907853,42
94,3874.0,3874.0,1,1716994604.907987,42
94,3874.0,3874.0,1,1716994604.9081562,42
94,3876.0,3876.0,1,1716994604.9082887,42
94,3876.0,3876.0,1,1716994604.9083889,42
0,16.0,16.0,3,1716994604.908461,42
94,3876.0,3876.0,1,1716994604.9085574,42
95,3900.0,3860.0,0,1716994604.9086337,42
94,3874.0,3874.0,1,1716994604.9087048,42
94,3874.0,3874.0,1,1716994604.9087787,42
94,3874.0,3874.0,1,1716994604.9088497,42
94,3874.0,3874.0,1,1716994604.908929,42
0,14.0,14.0,3,1716994604.9090102,42
94,3874.0,3874.0,1,1716994604.9090827,42
94,3874.0,3874.0,1,1716994604.9091544,42
94,3874.0,3874.0,1,1716994604.9092276,42
95,3902.0,3862.0,0,1716994604.9092991,42
94,3876.0,3876.0,1,1716994604.9093707,42
94,3876.0,3876.0,1,1716994604.909442,42
0,15.0,15.0,3,1716994604.909513,42
95,3902.0,3862.0,0,1716994604.909585,42
94,3876.0,3876.0,1,1716994604.9096563,42
94,3876.0,3876.0,1,1716994604.90973,42
94,3876.0,3876.0,1,1716994604.9098003,42
94,3876.0,3876.0,1,1716994604.9098723,42
0,15.0,15.0,3,1716994604.90996,42
95,3900.0,3860.0,0,1716994604.9100306,42
94,3874.0,3874.0,1,1716994604.9101133,42
94,3874.0,3874.0,1,1716994604.910185,42
94,3874.0,3874.0,1,1716994604.910256,42
94,3874.0,3874.0,1,1716994604.9103274,42
0,15.0,15.0,3,1716994604.910398,42
94,3874.0,3874.0,1,1716994604.9104695,42
95,3900.0,3860.0,0,1716994604.9105406,42
94,3874.0,3874.0,1,1716994604.9106112,42
94,3874.0,3874.0,1,1716994604.9106832,42
94,3874.0,3874.0,1,1716994604.9107537,42
0,15.0,15.0,3,1716994604.9108253,42
94,3874.0,3874.0,1,1716994604.9109051,42
95,3900.0,3860.0,0,1716994604.9109755,42
94,3874.0,3874.0,1,1716994604.9110453,42
95,3900.0,3860.0,0,1716994604.9111152,42
94,3874.0,3874.0,1,1716994604.9111857,42
94,3874.0,3874.0,1,1716994604.911259,42
94,3874.0,3874.0,1,1716994604.911329,42
0,15.0,15.0,3,1716994604.9113994,42
94,3874.0,3874.0,1,1716994604.9114714,42
94,3874.0,3874.0,1,1716994604.9115415,42
94,3874.0,3874.0,1,1716994604.9116201,42
94,3874.0,3874.0,1,1716994604.911691,42
94,3874.0,3874.0,1,1716994604.9117625,42
0,15.0,15.0,3,1716994604.9118323,42
94,3874.0,3874.0,1,1716994604.9119117,42
94,3874.0,3874.0,1,1716994604.9119828,42
94,3874.0,3874.0,1,1716994604.9120884,42
94,3874.0,3874.0,1,1716994604.9121878,42
94,3874.0,3874.0,1,1716994604.9122603,42
0,16.0,16.0,3,1716994604.9123292,42
94,3874.0,3874.0,1,1716994604.9123986,42
95,3900.0,3860.0,0,1716994604.9124675,42
94,3876.0,3876.0,1,1716994604.912537,42
95,3900.0,3860.0,0,1716994604.9126062,42
94,3876.0,3876.0,1,1716994604.9126756,42
94,3876.0,3876.0,1,1716994604.9127467,42
0,15.0,15.0,3,1716994604.9128165,42
94,3874.0,3874.0,1,1716994604.9128938,42
95,3900.0,3860.0,0,1716994604.9129632,42
94,3874.0,3874.0,1,1716994604.913032,42
95,3900.0,3860.0,0,1716994604.9131017,42
94,3874.0,3874.0,1,1716994604.9131715,42
94,3874.0,3874.0,1,1716994604.9132411,42
0,14.0,14.0,3,1716994604.913311,42
94,3874.0,3874.0,1,1716994604.9133816,42
94,3874.0,3874.0,1,1716994604.9134512,42
95,3902.0,3862.0,0,1716994604.9135206,42
94,3876.0,3876.0,1,1716994604.9136207,42
94,3876.0,3876.0,1,1716994604.913737,42
94,3876.0,3876.0,1,1716994604.9138634,42
0,14.0,14.0,3,1716994604.9139974,42
94,3876.0,3876.0,1,1716994604.914121,42
95,3900.0,3860.0,0,1716994604.9142442,42
94,3876.0,3876.0,1,1716994604.9143877,42
94,3876.0,3876.0,1,1716994604.9145095,42
94,3876.0,3876.0,1,1716994604.9146361,42
95,3902.0,3862.0,0,1716994604.9147694,42
94,3874.0,3874.0,1,1716994604.9149034,42
0,13.0,13.0,3,1716994604.9150517,42
94,3874.0,3874.0,1,1716994604.9151907,42
95,3902.0,3862.0,0,1716994604.9153187,42
94,3874.0,3874.0,1,1716994604.9154453,42
94,3874.0,3874.0,1,1716994604.9155903,42
94,3874.0,3874.0,1,1716994604.9157417,42
95,3900.0,3860.0,0,1716994604.9158626,42
0,15.0,15.0,3,1716994604.9160168,42
94,3874.0,3874.0,1,1716994604.9161503,42
95,3902.0,3860.0,0,1716994604.9162788,42
94,3874.0,3874.0,1,1716994604.916408,42
94,3874.0,3874.0,1,1716994604.9165516,42
95,3902.0,3860.0,0,1716994604.9166765,42
94,3874.0,3874.0,1,1716994604.9168093,42
0,14.0,14.0,3,1716994604.916886,42
94,3874.0,3874.0,1,1716994604.916959,42
94,3874.0,3874.0,1,1716994604.9170308,42
94,3874.0,3874.0,1,1716994604.9171019,42
94,3874.0,3874.0,1,1716994604.917173,42
0,15.0,15.0,3,1716994604.9172664,42
94,3874.0,3874.0,1,1716994604.917352,42
94,3874.0,3874.0,1,1716994604.9174273,42
94,3874.0,3874.0,1,1716994604.9175014,42
94,3874.0,3874.0,1,1716994604.9175725,42
95,3902.0,3860.0,0,1716994604.9176934,42
94,3874.0,3874.0,1,1716994604.9178195,42
0,14.0,14.0,3,1716994604.9179602,42
94,3874.0,3874.0,1,1716994604.918091,42
94,3874.0,3874.0,1,1716994604.9181921,42
95,3902.0,3860.0,0,1716994604.9182656,42
94,3874.0,3874.0,1,1716994604.918337,42
95,3902.0,3860.0,0,1716994604.9184086,42
94,3874.0,3874.0,1,1716994604.9185383,42
94,3874.0,3874.0,1,1716994604.9186869,42
