ptc,force,position,actuator_id,timestamp,src_node_id
95,3896.0,3896.0,1,1716991275.308653,42
95,3896.0,3896.0,1,1716991275.3087573,42
95,3896.0,3896.0,1,1716991275.3088493,42
95,3896.0,3896.0,1,1716991275.3089442,42
91,3756.0,3716.0,0,1716991275.3090253,42
95,3896.0,3896.0,1,1716991275.309106,42
95,3896.0,3896.0,1,1716991275.3091865,42
95,3896.0,3896.0,1,1716991275.3092663,42
95,3896.0,3896.0,1,1716991275.3093474,42
95,3896.0,3896.0,1,1716991275.3094337,42
95,3896.0,3896.0,1,1716991275.3095171,42
91,3756.0,3716.0,0,1716991275.3095984,42
95,3896.0,3896.0,1,1716991275.3096776,42
95,3896.0,3896.0,1,1716991275.309763,42
95,3896.0,3896.0,1,1716991275.3098416,42
91,3758.0,3716.0,0,1716991275.3099208,42
95,3896.0,3896.0,1,1716991275.3100119,42
95,3896.0,3896.0,1,1716991275.3100932,42
95,3896.0,3896.0,1,1716991275.310172,42
95,3896.0,3896.0,1,1716991275.3102534,42
91,3758.0,3716.0,0,1716991275.3103335,42
95,3896.0,3896.0,1,1716991275.3104143,42
95,3896.0,3896.0,1,1716991275.310496,42
95,3896.0,3896.0,1,1716991275.3105948,42
95,3896.0,3896.0,1,1716991275.3106787,42
91,3758.0,3716.0,0,1716991275.3108041,42
95,3896.0,3896.0,1,1716991275.3109543,42
91,3758.0,3716.0,0,1716991275.3110437,42
95,3896.0,3896.0,1,1716991275.311144,42
95,3896.0,3896.0,1,1716991275.3112361,42
95,3896.0,3896.0,1,1716991275.3113163,42
91,3758.0,3716.0,0,1716991275.3114,42
95,3896.0,3896.0,1,1716991275.3114786,42
95,3896.0,3896.0,1,1716991275.3115592,42
95,3896.0,3896.0,1,1716991275.311638,42
91,3758.0,3716.0,0,1716991275.3117177,42
95,3896.0,3896.0,1,1716991275.3117964,42
95,3896.0,3896.0,1,1716991275.311924,42
95,3896.0,3896.0,1,1716991275.312116,42
91,3758.0,3716.0,0,1716991275.3122602,42
95,3896.0,3896.0,1,1716991275.3123982,42
95,3896.0,3896.0,1,1716991275.3125308,42
95,3896.0,3896.0,1,1716991275.3126473,42
91,3756.0,3716.0,0,1716991275.312729,42
95,3896.0,3896.0,1,1716991275.3128092,42
95,3896.0,3896.0,1,1716991275.3128884,42
95,3896.0,3896.0,1,1716991275.3129683,42
95,3894.0,3894.0,1,1716991275.3130481,42
91,3756.0,3714.0,0,1716991275.3131387,42
95,3894.0,3894.0,1,1716991275.3132176,42
95,3894.0,3894.0,1,1716991275.3132963,42
95,3894.0,3894.0,1,1716991275.3133752,42
95,3896.0,3896.0,1,1716991275.3134549,42
91,3756.0,3714.0,0,1716991275.313537,42
95,3896.0,3896.0,1,1716991275.3136213,42
95,3896.0,3896.0,1,1716991275.313702,42
95,3896.0,3896.0,1,1716991275.3138618,42
95,3896.0,3896.0,1,1716991275.3140075,42
95,3896.0,3896.0,1,1716991275.3141344,42
95,3896.0,3896.0,1,1716991275.3149333,42
95,3896.0,3896.0,1,1716991275.3151033,42
95,3896.0,3896.0,1,1716991275.315212,42
91,3756.0,3714.0,0,1716991275.315294,42
95,3896.0,3896.0,1,1716991275.3153725,42
95,3894.0,3894.0,1,1716991275.3154533,42
95,3894.0,3894.0,1,1716991275.315555,42
95,3894.0,3894.0,1,1716991275.3156366,42
95,3894.0,3894.0,1,1716991275.3157191,42
91,3756.0,3716.0,0,1716991275.3158023,42
95,3896.0,3896.0,1,1716991275.3158946,42
95,3896.0,3896.0,1,1716991275.3159802,42
95,3896.0,3896.0,1,1716991275.316135,42
91,3756.0,3716.0,0,1716991275.3162231,42
95,3896.0,3896.0,1,1716991275.316309,42
95,3894.0,3894.0,1,1716991275.3163967,42
95,3894.0,3894.0,1,1716991275.3164847,42
95,3894.0,3894.0,1,1716991275.316571,42
91,3756.0,3716.0,0,1716991275.3166714,42
95,3894.0,3894.0,1,1716991275.316763,42
95,3894.0,3894.0,1,1716991275.3168561,42
95,3894.0,3894.0,1,1716991275.3169487,42
91,3756.0,3716.0,0,1716991275.3170629,42
95,3894.0,3894.0,1,1716991275.3171747,42
95,3896.0,3896.0,1,1716991275.317265,42
95,3896.0,3896.0,1,1716991275.3173542,42
95,3896.0,3896.0,1,1716991275.3174465,42
95,3894.0,3894.0,1,1716991275.317534,42
95,3894.0,3894.0,1,1716991275.3176165,42
95,3894.0,3894.0,1,1716991275.3176987,42
91,3756.0,3716.0,0,1716991275.3177772,42
95,3894.0,3894.0,1,1716991275.3178573,42
95,3894.0,3894.0,1,1716991275.3179474,42
95,3894.0,3894.0,1,1716991275.318025,42
95,3894.0,3894.0,1,1716991275.318107,42
91,3758.0,3716.0,0,1716991275.3181849,42
95,3894.0,3894.0,1,1716991275.3182952,42
95,3894.0,3894.0,1,1716991275.3183758,42
95,3894.0,3894.0,1,1716991275.3184552,42
95,3894.0,3894.0,1,1716991275.3185334,42
91,3758.0,3716.0,0,1716991275.3186133,42
95,3896.0,3896.0,1,1716991275.318693,42
95,3896.0,3896.0,1,1716991275.3187728,42
95,3896.0,3896.0,1,1716991275.318852,42
91,3756.0,3714.0,0,1716991275.3189306,42
95,3896.0,3896.0,1,1716991275.3190095,42
95,3896.0,3896.0,1,1716991275.3190894,42
95,3896.0,3896.0,1,1716991275.3191686,42
95,3896.0,3896.0,1,1716991275.3192492,42
91,3756.0,3716.0,0,1716991275.319339,42
95,3896.0,3896.0,1,1716991275.3194277,42
95,3896.0,3896.0,1,1716991275.3195086,42
95,3896.0,3896.0,1,1716991275.3195884,42
91,3756.0,3714.0,0,1716991275.3196678,42
95,3896.0,3896.0,1,1716991275.3197463,42
95,3896.0,3896.0,1,1716991275.3198252,42
95,3896.0,3896.0,1,1716991275.3199043,42
95,3896.0,3896.0,1,1716991275.3199828,42
95,3894.0,3894.0,1,1716991275.32011,42
95,3894.0,3894.0,1,1716991275.3201907,42
95,3894.0,3894.0,1,1716991275.3202705,42
95,3896.0,3896.0,1,1716991275.3203502,42
95,3896.0,3896.0,1,1716991275.3204308,42
95,3896.0,3896.0,1,1716991275.3205235,42
95,3896.0,3896.0,1,1716991275.3206038,42
95,3896.0,3896.0,1,1716991275.320683,42
91,3756.0,3716.0,0,1716991275.3207629,42
95,3896.0,3896.0,1,1716991275.3208432,42
95,3896.0,3896.0,1,1716991275.3209293,42
95,3894.0,3894.0,1,1716991275.321012,42
91,3756.0,3714.0,0,1716991275.321095,42
95,3894.0,3894.0,1,1716991275.3211753,42
95,3894.0,3894.0,1,1716991275.3212566,42
95,3894.0,3894.0,1,1716991275.321337,42
95,3894.0,3894.0,1,1716991275.321418,42
95,3894.0,3894.0,1,1716991275.3214996,42
95,3894.0,3894.0,1,1716991275.3215919,42
95,3894.0,3894.0,1,1716991275.321673,42
95,3894.0,3894.0,1,1716991275.321753,42
95,3894.0,3894.0,1,1716991275.321834,42
95,3894.0,3894.0,1,1716991275.3219147,42
95,3894.0,3894.0,1,1716991275.3219948,42
91,3756.0,3716.0,0,1716991275.322075,42
95,3894.0,3894.0,1,1716991275.3221548,42
95,3894.0,3894.0,1,1716991275.3222353,42
95,3894.0,3894.0,1,1716991275.322316,42
91,3756.0,3716.0,0,1716991275.3223968,42
95,3894.0,3894.0,1,1716991275.3224757,42
95,3894.0,3894.0,1,1716991275.3225746,42
95,3894.0,3894.0,1,1716991275.3226664,42
95,3894.0,3894.0,1,1716991275.322752,42
91,3756.0,3716.0,0,1716991275.322833,42
95,3894.0,3894.0,1,1716991275.322934,42
95,3894.0,3894.0,1,1716991275.323016,42
95,3894.0,3894.0,1,1716991275.3230963,42
91,3756.0,3716.0,0,1716991275.3231764,42
95,3894.0,3894.0,1,1716991275.3232694,42
95,3894.0,3894.0,1,1716991275.3233519,42
95,3894.0,3894.0,1,1716991275.3234327,42
91,3756.0,3714.0,0,1716991275.3235118,42
95,3894.0,3894.0,1,1716991275.32359,42
95,3894.0,3894.0,1,1716991275.323672,42
95,3894.0,3894.0,1,1716991275.3237517,42
95,3896.0,3896.0,1,1716991275.3238442,42
91,3756.0,3714.0,0,1716991275.323927,42
95,3896.0,3896.0,1,1716991275.3240516,42
95,3896.0,3896.0,1,1716991275.32416,42
95,3896.0,3896.0,1,1716991275.3242373,42
95,3896.0,3896.0,1,1716991275.3243148,42
95,3896.0,3896.0,1,1716991275.3243945,42
95,3896.0,3896.0,1,1716991275.324474,42
95,3894.0,3894.0,1,1716991275.3245525,42
91,3756.0,3714.0,0,1716991275.3246326,42
95,3894.0,3894.0,1,1716991275.3247116,42
95,3894.0,3894.0,1,1716991275.324794,42
95,3894.0,3894.0,1,1716991275.324875,42
91,3754.0,3714.0,0,1716991275.3249655,42
95,3894.0,3894.0,1,1716991275.3250453,42
95,3894.0,3894.0,1,1716991275.3251257,42
95,3894.0,3894.0,1,1716991275.325204,42
95,3894.0,3894.0,1,1716991275.3252823,42
95,3894.0,3894.0,1,1716991275.3253615,42
