ptc,force,position,actuator_id,timestamp,src_node_id
94,3882.0,3882.0,1,1716991710.4091258,42
0,14.0,14.0,3,1716991710.4092824,42
94,3882.0,3882.0,1,1716991710.4094193,42
94,3882.0,3882.0,1,1716991710.4095623,42
94,3882.0,3882.0,1,1716991710.409726,42
95,3908.0,3868.0,0,1716991710.4098,42
94,3882.0,3882.0,1,1716991710.4098716,42
95,3908.0,3868.0,0,1716991710.409943,42
0,15.0,15.0,3,1716991710.4100323,42
94,3882.0,3882.0,1,1716991710.4101045,42
94,3882.0,3882.0,1,1716991710.4101756,42
94,3882.0,3882.0,1,1716991710.4102461,42
94,3882.0,3882.0,1,1716991710.4103162,42
0,13.0,13.0,3,1716991710.4103878,42
94,3882.0,3882.0,1,1716991710.4104755,42
94,3882.0,3882.0,1,1716991710.4105468,42
94,3882.0,3882.0,1,1716991710.4106169,42
95,3910.0,3868.0,0,1716991710.4106867,42
94,3882.0,3882.0,1,1716991710.4107568,42
95,3910.0,3868.0,0,1716991710.4108288,42
94,3882.0,3882.0,1,1716991710.4108984,42
0,14.0,14.0,3,1716991710.4109683,42
94,3882.0,3882.0,1,1716991710.41104,42
94,3882.0,3882.0,1,1716991710.41111,42
94,3882.0,3882.0,1,1716991710.4111793,42
94,3882.0,3882.0,1,1716991710.4112496,42
94,3882.0,3882.0,1,1716991710.4113188,42
0,13.0,13.0,3,1716991710.411403,42
94,3882.0,3882.0,1,1716991710.4114747,42
94,3882.0,3882.0,1,1716991710.411544,42
94,3882.0,3882.0,1,1716991710.4116137,42
95,3908.0,3868.0,0,1716991710.4116855,42
94,3882.0,3882.0,1,1716991710.4117553,42
94,3882.0,3882.0,1,1716991710.411827,42
0,14.0,14.0,3,1716991710.411897,42
94,3882.0,3882.0,1,1716991710.4119678,42
94,3882.0,3882.0,1,1716991710.4120824,42
94,3882.0,3882.0,1,1716991710.4121547,42
94,3882.0,3882.0,1,1716991710.4122255,42
0,12.0,12.0,3,1716991710.4122958,42
94,3882.0,3882.0,1,1716991710.4123652,42
94,3882.0,3882.0,1,1716991710.4124663,42
95,3908.0,3868.0,0,1716991710.4125433,42
94,3882.0,3882.0,1,1716991710.4126127,42
94,3882.0,3882.0,1,1716991710.4126966,42
0,13.0,13.0,3,1716991710.4127696,42
94,3882.0,3882.0,1,1716991710.4128401,42
