ptc,force,position,actuator_id,timestamp,src_node_id
94,3882.0,3882.0,1,1716991673.1211197,42
0,26.0,26.0,3,1716991673.1212103,42
94,3882.0,3882.0,1,1716991673.1212835,42
95,3898.0,3856.0,0,1716991673.1213553,42
94,3882.0,3882.0,1,1716991673.1214273,42
94,3882.0,3882.0,1,1716991673.1215,42
95,3898.0,3858.0,0,1716991673.1215699,42
94,3882.0,3882.0,1,1716991673.12164,42
94,3882.0,3882.0,1,1716991673.121712,42
0,25.0,25.0,3,1716991673.1217833,42
94,3882.0,3882.0,1,1716991673.1218655,42
94,3884.0,3884.0,1,1716991673.1219358,42
94,3884.0,3884.0,1,1716991673.1220183,42
95,3898.0,3858.0,0,1716991673.1220927,42
94,3884.0,3884.0,1,1716991673.1221635,42
94,3884.0,3884.0,1,1716991673.1222346,42
0,26.0,26.0,3,1716991673.1223056,42
94,3882.0,3882.0,1,1716991673.1223762,42
94,3882.0,3882.0,1,1716991673.122446,42
94,3882.0,3882.0,1,1716991673.1225162,42
94,3882.0,3882.0,1,1716991673.1225867,42
0,26.0,26.0,3,1716991673.1226573,42
94,3882.0,3882.0,1,1716991673.122727,42
94,3882.0,3882.0,1,1716991673.122827,42
94,3882.0,3882.0,1,1716991673.1229432,42
95,3898.0,3856.0,0,1716991673.1230686,42
94,3882.0,3882.0,1,1716991673.1231887,42
94,3882.0,3882.0,1,1716991673.1233125,42
0,26.0,26.0,3,1716991673.1234345,42
94,3882.0,3882.0,1,1716991673.123559,42
94,3882.0,3882.0,1,1716991673.1236813,42
94,3882.0,3882.0,1,1716991673.1237977,42
94,3882.0,3882.0,1,1716991673.1239228,42
94,3882.0,3882.0,1,1716991673.1240845,42
0,26.0,26.0,3,1716991673.124215,42
95,3898.0,3856.0,0,1716991673.124342,42
94,3882.0,3882.0,1,1716991673.1244762,42
94,3882.0,3882.0,1,1716991673.124621,42
94,3882.0,3882.0,1,1716991673.1247444,42
94,3882.0,3882.0,1,1716991673.1248717,42
94,3882.0,3882.0,1,1716991673.124965,42
0,26.0,26.0,3,1716991673.1250923,42
94,3882.0,3882.0,1,1716991673.125219,42
94,3882.0,3882.0,1,1716991673.1253397,42
95,3898.0,3856.0,0,1716991673.1254625,42
94,3882.0,3882.0,1,1716991673.1255891,42
94,3882.0,3882.0,1,1716991673.1257133,42
0,25.0,25.0,3,1716991673.1258137,42
94,3882.0,3882.0,1,1716991673.1258864,42
94,3882.0,3882.0,1,1716991673.1259582,42
94,3882.0,3882.0,1,1716991673.1260734,42
94,3882.0,3882.0,1,1716991673.1261966,42
0,27.0,27.0,3,1716991673.1263041,42
94,3884.0,3884.0,1,1716991673.1263783,42
95,3898.0,3856.0,0,1716991673.1264613,42
94,3884.0,3884.0,1,1716991673.1265562,42
94,3884.0,3884.0,1,1716991673.1266859,42
94,3882.0,3882.0,1,1716991673.126833,42
94,3882.0,3882.0,1,1716991673.1269681,42
0,25.0,25.0,3,1716991673.1270955,42
94,3882.0,3882.0,1,1716991673.1272242,42
94,3882.0,3882.0,1,1716991673.1273537,42
95,3898.0,3856.0,0,1716991673.127491,42
94,3882.0,3882.0,1,1716991673.1275828,42
94,3882.0,3882.0,1,1716991673.127655,42
0,25.0,25.0,3,1716991673.1277294,42
94,3882.0,3882.0,1,1716991673.1277997,42
94,3882.0,3882.0,1,1716991673.127872,42
94,3882.0,3882.0,1,1716991673.1279438,42
94,3882.0,3882.0,1,1716991673.128053,42
94,3882.0,3882.0,1,1716991673.128148,42
0,26.0,26.0,3,1716991673.1282206,42
95,3898.0,3856.0,0,1716991673.1282923,42
94,3882.0,3882.0,1,1716991673.1283658,42
94,3882.0,3882.0,1,1716991673.1284444,42
94,3882.0,3882.0,1,1716991673.128516,42
94,3882.0,3882.0,1,1716991673.1285937,42
0,26.0,26.0,3,1716991673.1286702,42
94,3882.0,3882.0,1,1716991673.128741,42
94,3882.0,3882.0,1,1716991673.1288157,42
94,3882.0,3882.0,1,1716991673.1288888,42
95,3898.0,3856.0,0,1716991673.128963,42
94,3882.0,3882.0,1,1716991673.1290345,42
94,3882.0,3882.0,1,1716991673.129105,42
94,3884.0,3884.0,1,1716991673.1291776,42
94,3884.0,3884.0,1,1716991673.129256,42
94,3884.0,3884.0,1,1716991673.129327,42
94,3882.0,3882.0,1,1716991673.129398,42
0,26.0,26.0,3,1716991673.1294696,42
94,3882.0,3882.0,1,1716991673.1295857,42
94,3882.0,3882.0,1,1716991673.1296954,42
94,3882.0,3882.0,1,1716991673.1297672,42
94,3882.0,3882.0,1,1716991673.129838,42
94,3882.0,3882.0,1,1716991673.1299233,42
0,25.0,25.0,3,1716991673.1299944,42
94,3882.0,3882.0,1,1716991673.130076,42
95,3898.0,3858.0,0,1716991673.1301606,42
94,3882.0,3882.0,1,1716991673.130242,42
94,3882.0,3882.0,1,1716991673.130316,42
