ptc,force,position,actuator_id,timestamp,src_node_id
94,3882.0,3882.0,1,1716991810.8079643,42
0,14.0,14.0,3,1716991810.8081734,42
94,3882.0,3882.0,1,1716991810.8083165,42
94,3882.0,3882.0,1,1716991810.8084495,42
94,3882.0,3882.0,1,1716991810.8086083,42
94,3882.0,3882.0,1,1716991810.8087485,42
94,3882.0,3882.0,1,1716991810.808884,42
0,14.0,14.0,3,1716991810.8090193,42
94,3882.0,3882.0,1,1716991810.8091545,42
95,3908.0,3868.0,0,1716991810.8092911,42
94,3882.0,3882.0,1,1716991810.8094523,42
95,3908.0,3868.0,0,1716991810.8095865,42
94,3882.0,3882.0,1,1716991810.8097236,42
94,3882.0,3882.0,1,1716991810.809842,42
94,3882.0,3882.0,1,1716991810.8099167,42
0,14.0,14.0,3,1716991810.809991,42
94,3882.0,3882.0,1,1716991810.8100638,42
94,3880.0,3880.0,1,1716991810.8101385,42
95,3908.0,3866.0,0,1716991810.8102598,42
94,3880.0,3880.0,1,1716991810.810377,42
95,3908.0,3866.0,0,1716991810.81045,42
94,3880.0,3880.0,1,1716991810.8105214,42
94,3880.0,3880.0,1,1716991810.8105948,42
0,14.0,14.0,3,1716991810.8106678,42
94,3882.0,3882.0,1,1716991810.810765,42
94,3882.0,3882.0,1,1716991810.8108377,42
94,3882.0,3882.0,1,1716991810.8109095,42
94,3882.0,3882.0,1,1716991810.81098,42
0,14.0,14.0,3,1716991810.811052,42
94,3882.0,3882.0,1,1716991810.8111253,42
94,3882.0,3882.0,1,1716991810.8111973,42
94,3882.0,3882.0,1,1716991810.8112998,42
94,3882.0,3882.0,1,1716991810.8114312,42
95,3910.0,3868.0,0,1716991810.8115664,42
94,3882.0,3882.0,1,1716991810.8116994,42
94,3882.0,3882.0,1,1716991810.8117936,42
94,3882.0,3882.0,1,1716991810.8118663,42
94,3882.0,3882.0,1,1716991810.8119588,42
94,3882.0,3882.0,1,1716991810.8120754,42
0,13.0,13.0,3,1716991810.8121715,42
94,3882.0,3882.0,1,1716991810.8122423,42
94,3882.0,3882.0,1,1716991810.8123133,42
94,3882.0,3882.0,1,1716991810.812383,42
94,3882.0,3882.0,1,1716991810.8124588,42
94,3882.0,3882.0,1,1716991810.8125293,42
0,14.0,14.0,3,1716991810.8125997,42
94,3882.0,3882.0,1,1716991810.8126702,42
95,3908.0,3868.0,0,1716991810.8127537,42
94,3882.0,3882.0,1,1716991810.8128262,42
94,3882.0,3882.0,1,1716991810.8128967,42
94,3882.0,3882.0,1,1716991810.8129752,42
94,3882.0,3882.0,1,1716991810.8130474,42
0,14.0,14.0,3,1716991810.813118,42
94,3880.0,3880.0,1,1716991810.813191,42
94,3880.0,3880.0,1,1716991810.8132615,42
95,3908.0,3866.0,0,1716991810.813334,42
94,3880.0,3880.0,1,1716991810.8134046,42
94,3880.0,3880.0,1,1716991810.8134773,42
0,12.0,12.0,3,1716991810.8135533,42
94,3880.0,3880.0,1,1716991810.813629,42
95,3910.0,3868.0,0,1716991810.8137047,42
94,3880.0,3880.0,1,1716991810.8137817,42
95,3908.0,3868.0,0,1716991810.8138673,42
94,3882.0,3882.0,1,1716991810.8139646,42
94,3882.0,3882.0,1,1716991810.8140483,42
94,3882.0,3882.0,1,1716991810.814215,42
94,3882.0,3882.0,1,1716991810.8143632,42
94,3880.0,3880.0,1,1716991810.8145063,42
94,3880.0,3880.0,1,1716991810.814647,42
94,3880.0,3880.0,1,1716991810.8147914,42
0,14.0,14.0,3,1716991810.8148742,42
94,3882.0,3882.0,1,1716991810.8149598,42
94,3882.0,3882.0,1,1716991810.8150494,42
94,3882.0,3882.0,1,1716991810.815123,42
95,3908.0,3868.0,0,1716991810.8151977,42
94,3882.0,3882.0,1,1716991810.815272,42
94,3880.0,3880.0,1,1716991810.8153474,42
0,13.0,13.0,3,1716991810.8154485,42
95,3908.0,3868.0,0,1716991810.8155289,42
94,3880.0,3880.0,1,1716991810.815616,42
94,3880.0,3880.0,1,1716991810.8156984,42
94,3882.0,3882.0,1,1716991810.8157766,42
94,3882.0,3882.0,1,1716991810.8158624,42
95,3910.0,3868.0,0,1716991810.8159344,42
94,3882.0,3882.0,1,1716991810.8160598,42
0,13.0,13.0,3,1716991810.8161526,42
94,3882.0,3882.0,1,1716991810.8162277,42
94,3882.0,3882.0,1,1716991810.8162987,42
94,3882.0,3882.0,1,1716991810.816371,42
94,3882.0,3882.0,1,1716991810.816444,42
94,3882.0,3882.0,1,1716991810.8165417,42
0,14.0,14.0,3,1716991810.8166134,42
94,3882.0,3882.0,1,1716991810.8166885,42
94,3882.0,3882.0,1,1716991810.816777,42
95,3908.0,3868.0,0,1716991810.8168488,42
94,3882.0,3882.0,1,1716991810.81692,42
94,3882.0,3882.0,1,1716991810.8169925,42
0,14.0,14.0,3,1716991810.8170648,42
94,3882.0,3882.0,1,1716991810.8171356,42
94,3880.0,3880.0,1,1716991810.8172083,42
94,3880.0,3880.0,1,1716991810.8172803,42
94,3880.0,3880.0,1,1716991810.8173518,42
