ptc,force,position,actuator_id,timestamp,src_node_id
94,3878.0,3878.0,1,1716992243.7041101,42
94,3878.0,3878.0,1,1716992243.7042148,42
0,14.0,14.0,3,1716992243.7042902,42
94,3878.0,3878.0,1,1716992243.7044334,42
95,3906.0,3864.0,0,1716992243.704559,42
94,3878.0,3878.0,1,1716992243.7046938,42
94,3880.0,3880.0,1,1716992243.7047741,42
94,3880.0,3880.0,1,1716992243.704845,42
94,3880.0,3880.0,1,1716992243.7049167,42
0,15.0,15.0,3,1716992243.7049901,42
94,3878.0,3878.0,1,1716992243.7050624,42
94,3878.0,3878.0,1,1716992243.7051344,42
94,3878.0,3878.0,1,1716992243.7052062,42
94,3878.0,3878.0,1,1716992243.7052777,42
94,3878.0,3878.0,1,1716992243.7053587,42
94,3878.0,3878.0,1,1716992243.7054427,42
94,3878.0,3878.0,1,1716992243.7055137,42
94,3880.0,3880.0,1,1716992243.705604,42
94,3880.0,3880.0,1,1716992243.7056763,42
0,15.0,15.0,3,1716992243.7057495,42
95,3906.0,3864.0,0,1716992243.7058215,42
94,3880.0,3880.0,1,1716992243.7058911,42
94,3880.0,3880.0,1,1716992243.7059624,42
94,3878.0,3878.0,1,1716992243.7060344,42
94,3878.0,3878.0,1,1716992243.706141,42
94,3878.0,3878.0,1,1716992243.7062752,42
0,13.0,13.0,3,1716992243.706401,42
94,3880.0,3880.0,1,1716992243.7065344,42
94,3880.0,3880.0,1,1716992243.7066612,42
94,3880.0,3880.0,1,1716992243.7068024,42
95,3906.0,3864.0,0,1716992243.7069721,42
94,3880.0,3880.0,1,1716992243.7070525,42
94,3880.0,3880.0,1,1716992243.707123,42
0,15.0,15.0,3,1716992243.7071931,42
94,3880.0,3880.0,1,1716992243.7072842,42
94,3880.0,3880.0,1,1716992243.7073545,42
94,3880.0,3880.0,1,1716992243.7074263,42
94,3880.0,3880.0,1,1716992243.7075136,42
0,14.0,14.0,3,1716992243.7075856,42
95,3906.0,3866.0,0,1716992243.7076569,42
94,3880.0,3880.0,1,1716992243.7077281,42
95,3904.0,3864.0,0,1716992243.7078016,42
94,3878.0,3878.0,1,1716992243.707871,42
94,3878.0,3878.0,1,1716992243.7079506,42
