ptc,force,position,actuator_id,timestamp,src_node_id
94,3880.0,3880.0,1,1716992203.922095,42
95,3906.0,3864.0,0,1716992203.9221861,42
94,3880.0,3880.0,1,1716992203.9222589,42
94,3880.0,3880.0,1,1716992203.9223325,42
0,15.0,15.0,3,1716992203.9224455,42
94,3880.0,3880.0,1,1716992203.9225328,42
95,3906.0,3864.0,0,1716992203.922615,42
94,3880.0,3880.0,1,1716992203.9227133,42
94,3880.0,3880.0,1,1716992203.9227843,42
95,3906.0,3866.0,0,1716992203.9228537,42
94,3880.0,3880.0,1,1716992203.9229252,42
95,3906.0,3866.0,0,1716992203.9229958,42
0,14.0,14.0,3,1716992203.923085,42
94,3878.0,3878.0,1,1716992203.9231536,42
95,3906.0,3864.0,0,1716992203.9232223,42
94,3878.0,3878.0,1,1716992203.923291,42
94,3878.0,3878.0,1,1716992203.9233637,42
94,3878.0,3878.0,1,1716992203.923448,42
0,15.0,15.0,3,1716992203.9235277,42
94,3880.0,3880.0,1,1716992203.923604,42
94,3880.0,3880.0,1,1716992203.9236872,42
94,3880.0,3880.0,1,1716992203.923767,42
95,3906.0,3866.0,0,1716992203.923839,42
94,3880.0,3880.0,1,1716992203.9239097,42
94,3880.0,3880.0,1,1716992203.92398,42
0,14.0,14.0,3,1716992203.924095,42
94,3880.0,3880.0,1,1716992203.9241736,42
94,3880.0,3880.0,1,1716992203.9242432,42
94,3878.0,3878.0,1,1716992203.9243126,42
94,3878.0,3878.0,1,1716992203.924382,42
94,3878.0,3878.0,1,1716992203.924451,42
0,14.0,14.0,3,1716992203.92452,42
94,3878.0,3878.0,1,1716992203.9245894,42
94,3878.0,3878.0,1,1716992203.92466,42
94,3878.0,3878.0,1,1716992203.9247613,42
95,3906.0,3864.0,0,1716992203.9248312,42
94,3878.0,3878.0,1,1716992203.9249017,42
94,3878.0,3878.0,1,1716992203.924972,42
0,14.0,14.0,3,1716992203.9250417,42
94,3878.0,3878.0,1,1716992203.925114,42
94,3878.0,3878.0,1,1716992203.9251833,42
94,3880.0,3880.0,1,1716992203.925258,42
94,3880.0,3880.0,1,1716992203.925328,42
0,14.0,14.0,3,1716992203.9253986,42
94,3880.0,3880.0,1,1716992203.9254696,42
94,3878.0,3878.0,1,1716992203.9255402,42
95,3906.0,3866.0,0,1716992203.9256124,42
94,3878.0,3878.0,1,1716992203.925695,42
94,3878.0,3878.0,1,1716992203.9257681,42
94,3878.0,3878.0,1,1716992203.9258394,42
94,3878.0,3878.0,1,1716992203.9259107,42
94,3878.0,3878.0,1,1716992203.9259813,42
94,3878.0,3878.0,1,1716992203.9260526,42
94,3878.0,3878.0,1,1716992203.9261239,42
0,13.0,13.0,3,1716992203.9261925,42
94,3878.0,3878.0,1,1716992203.9262626,42
94,3878.0,3878.0,1,1716992203.926345,42
94,3878.0,3878.0,1,1716992203.9264145,42
94,3878.0,3878.0,1,1716992203.9264839,42
94,3878.0,3878.0,1,1716992203.9265544,42
0,14.0,14.0,3,1716992203.9266338,42
94,3878.0,3878.0,1,1716992203.9267054,42
95,3906.0,3864.0,0,1716992203.926777,42
94,3880.0,3880.0,1,1716992203.9268477,42
94,3880.0,3880.0,1,1716992203.926929,42
94,3880.0,3880.0,1,1716992203.9270027,42
94,3880.0,3880.0,1,1716992203.927074,42
0,14.0,14.0,3,1716992203.9271524,42
94,3880.0,3880.0,1,1716992203.9272385,42
94,3880.0,3880.0,1,1716992203.9273083,42
95,3906.0,3866.0,0,1716992203.9273796,42
94,3880.0,3880.0,1,1716992203.927451,42
94,3878.0,3878.0,1,1716992203.9275215,42
0,14.0,14.0,3,1716992203.9276419,42
94,3878.0,3878.0,1,1716992203.9277256,42
94,3878.0,3878.0,1,1716992203.9277978,42
95,3906.0,3864.0,0,1716992203.9278717,42
94,3878.0,3878.0,1,1716992203.9279642,42
94,3878.0,3878.0,1,1716992203.92812,42
0,14.0,14.0,3,1716992203.9282522,42
94,3878.0,3878.0,1,1716992203.9283915,42
94,3878.0,3878.0,1,1716992203.9285312,42
94,3878.0,3878.0,1,1716992203.9286742,42
