ptc,force,position,actuator_id,timestamp,src_node_id
94,3878.0,3878.0,1,1716994540.5092928,42
94,3878.0,3878.0,1,1716994540.5093858,42
94,3878.0,3878.0,1,1716994540.5094628,42
94,3878.0,3878.0,1,1716994540.509561,42
94,3878.0,3878.0,1,1716994540.5096622,42
94,3878.0,3878.0,1,1716994540.5097444,42
94,3878.0,3878.0,1,1716994540.509836,42
94,3878.0,3878.0,1,1716994540.5099177,42
94,3878.0,3878.0,1,1716994540.5099907,42
94,3878.0,3878.0,1,1716994540.5100656,42
94,3878.0,3878.0,1,1716994540.51019,42
94,3878.0,3878.0,1,1716994540.5103438,42
94,3878.0,3878.0,1,1716994540.510502,42
94,3854.0,3812.0,0,1716994540.5106344,42
94,3878.0,3878.0,1,1716994540.5107682,42
94,3876.0,3876.0,1,1716994540.5109005,42
94,3876.0,3876.0,1,1716994540.5110357,42
94,3876.0,3876.0,1,1716994540.5111406,42
94,3876.0,3876.0,1,1716994540.5112145,42
94,3878.0,3878.0,1,1716994540.5112867,42
94,3878.0,3878.0,1,1716994540.511359,42
94,3878.0,3878.0,1,1716994540.5114293,42
94,3878.0,3878.0,1,1716994540.5115025,42
94,3878.0,3878.0,1,1716994540.5115736,42
94,3878.0,3878.0,1,1716994540.511693,42
94,3878.0,3878.0,1,1716994540.5118601,42
94,3878.0,3878.0,1,1716994540.5119472,42
94,3878.0,3878.0,1,1716994540.5120666,42
94,3878.0,3878.0,1,1716994540.512143,42
94,3878.0,3878.0,1,1716994540.5122168,42
94,3878.0,3878.0,1,1716994540.5122902,42
94,3878.0,3878.0,1,1716994540.5123835,42
94,3878.0,3878.0,1,1716994540.5124567,42
94,3878.0,3878.0,1,1716994540.5125322,42
94,3878.0,3878.0,1,1716994540.512608,42
94,3878.0,3878.0,1,1716994540.512686,42
94,3876.0,3876.0,1,1716994540.5128076,42
94,3876.0,3876.0,1,1716994540.512934,42
94,3856.0,3814.0,0,1716994540.513012,42
94,3876.0,3876.0,1,1716994540.5130968,42
94,3876.0,3876.0,1,1716994540.513172,42
94,3876.0,3876.0,1,1716994540.5132453,42
94,3876.0,3876.0,1,1716994540.5133736,42
94,3876.0,3876.0,1,1716994540.513502,42
94,3876.0,3876.0,1,1716994540.5135796,42
94,3876.0,3876.0,1,1716994540.5136685,42
94,3876.0,3876.0,1,1716994540.513742,42
94,3876.0,3876.0,1,1716994540.513816,42
94,3878.0,3878.0,1,1716994540.5138896,42
94,3854.0,3812.0,0,1716994540.5139618,42
